id,cuisine
18009,british
28583,british
41580,italian
29752,italian
35687,italian
38527,cajun_creole
19666,british
41217,italian
28753,italian
22659,british
21749,mexican
44967,italian
42969,thai
44883,italian
20827,british
23196,british
35387,british
33780,italian
19001,italian
16526,italian
42455,italian
47453,italian
42478,british
11885,indian
16585,british
29639,british
26245,italian
38516,italian
47520,italian
26212,italian
23696,british
14926,mexican
13292,italian
27346,british
1384,mexican
15959,mexican
42297,british
46235,indian
21181,italian
9809,mexican
22982,british
23120,mexican
26743,italian
12741,mexican
7050,italian
22437,mexican
14760,british
10649,italian
48065,italian
39931,italian
32935,mexican
40142,cajun_creole
19103,british
38267,italian
30512,italian
3324,italian
26197,italian
384,italian
47230,cajun_creole
39748,mexican
41038,british
24878,italian
42624,mexican
45706,italian
8874,british
23878,mexican
47234,italian
24075,thai
46323,mexican
22562,british
11358,italian
9201,mexican
38620,mexican
47638,british
21238,mexican
11053,cajun_creole
46602,italian
13937,mexican
21876,british
20798,mexican
24381,italian
48178,mexican
45832,italian
27560,italian
23247,british
28975,italian
43230,british
9126,mexican
13021,mexican
28194,italian
25617,british
36125,italian
16454,mexican
1607,cajun_creole
38526,mexican
18755,italian
12035,vietnamese
16047,british
15419,italian
16971,mexican
31459,cajun_creole
27888,southern_us
13900,italian
12376,vietnamese
1658,vietnamese
29431,vietnamese
22290,mexican
28464,mexican
37953,italian
20814,italian
35987,british
2329,mexican
43237,british
30647,italian
16675,italian
37722,british
32438,italian
20287,british
43296,indian
6237,mexican
48560,vietnamese
20810,mexican
34951,british
31850,british
47745,italian
37815,italian
9872,british
5592,mexican
27411,thai
39320,british
40247,british
19792,italian
40754,italian
14365,thai
14468,italian
47563,mexican
19611,british
7163,british
43069,british
27505,italian
36500,cajun_creole
25932,vietnamese
817,italian
8471,cajun_creole
48250,british
9413,mexican
12097,british
8416,mexican
5892,british
676,british
47015,italian
21891,british
14630,mexican
36195,italian
25981,italian
39964,british
28298,italian
31954,italian
26620,british
14932,british
47426,cajun_creole
1038,british
8077,british
37141,italian
45447,italian
9624,british
45589,british
7265,british
31844,british
13046,italian
9867,italian
29184,italian
34783,british
2823,vietnamese
18932,british
11112,british
12859,mexican
9365,mexican
44516,italian
18193,british
46545,british
9900,italian
14815,british
39690,italian
22193,british
11739,british
27311,italian
36920,mexican
7861,italian
29248,mexican
43142,mexican
7574,italian
8610,mexican
989,mexican
46926,chinese
40816,mexican
39726,italian
42229,british
10474,italian
22140,italian
31985,british
46165,italian
20860,italian
42494,italian
15968,italian
20484,vietnamese
26661,mexican
47182,mexican
22528,british
3861,british
1203,indian
45040,italian
33287,mexican
10097,italian
42005,british
12423,mexican
39613,italian
30276,british
18686,british
3031,british
40093,mexican
182,italian
46591,southern_us
4092,italian
13722,british
44575,mexican
14989,mexican
13270,british
25529,italian
12140,mexican
23127,mexican
13523,mexican
41270,thai
8362,british
11735,italian
27935,british
28198,mexican
37765,indian
33856,italian
30198,mexican
42521,british
21567,british
36995,british
24967,vietnamese
45002,british
48925,british
36914,british
2280,cajun_creole
14729,british
4594,italian
2237,indian
45631,italian
2317,italian
23079,british
29333,thai
48066,italian
15737,british
30580,mexican
1119,italian
46336,mexican
5026,italian
10749,british
31020,mexican
30805,british
27653,italian
35060,mexican
39174,british
49509,mexican
31784,cajun_creole
31408,mexican
36029,italian
11045,italian
6561,cajun_creole
26992,cajun_creole
31179,mexican
35099,mexican
11018,cajun_creole
17930,mexican
21302,italian
46352,japanese
25132,british
7010,southern_us
25850,italian
19601,mexican
7935,mexican
34994,italian
25113,italian
45523,mexican
34977,italian
7124,italian
27514,italian
27178,mexican
47880,italian
29197,italian
16347,british
20333,british
29112,italian
7510,italian
13897,british
35699,indian
20520,mexican
38920,british
21775,italian
37475,italian
40131,mexican
1939,british
48268,mexican
34815,italian
13797,mexican
39063,italian
29064,cajun_creole
26896,italian
29477,british
3352,italian
4966,mexican
7316,italian
23879,italian
16525,mexican
32843,italian
39574,italian
32737,mexican
44788,italian
28772,italian
34189,british
33719,italian
25846,mexican
1423,mexican
4328,italian
579,mexican
5219,mexican
2314,british
31143,mexican
13409,vietnamese
3281,mexican
15804,mexican
40835,italian
39262,italian
37013,british
14807,italian
47956,mexican
2580,mexican
13720,british
23008,italian
5951,british
39312,italian
6176,british
17617,british
57,british
43422,italian
49403,british
44751,british
21865,mexican
26584,british
39355,vietnamese
14038,italian
45396,mexican
49715,italian
41515,chinese
30445,mexican
4090,british
17207,cajun_creole
40376,italian
19398,british
22347,vietnamese
49671,british
40854,mexican
926,italian
47919,mexican
20571,vietnamese
18866,italian
48742,italian
14577,mexican
29481,british
40996,mexican
34470,mexican
31147,mexican
35932,british
27221,italian
48301,mexican
29925,italian
48640,british
22873,british
10565,italian
15509,british
37569,british
13306,italian
40474,mexican
15182,italian
8609,italian
32168,italian
1125,british
25244,mexican
46889,italian
13841,japanese
47135,indian
29036,italian
43533,cajun_creole
41631,british
22124,british
18836,mexican
35695,british
5141,british
41894,british
4972,mexican
34195,japanese
14183,british
15188,mexican
8734,mexican
30946,vietnamese
5588,british
49554,italian
1270,mexican
1259,italian
45986,british
22351,british
300,british
9278,cajun_creole
10021,british
17014,british
40855,vietnamese
18362,italian
16292,italian
29924,british
47174,mexican
4856,british
15417,mexican
19875,italian
42228,mexican
36264,british
14571,british
23496,british
43879,british
