id,cuisine
18009,southern_us
28583,southern_us
41580,italian
29752,mexican
35687,italian
38527,italian
19666,italian
41217,italian
28753,mexican
22659,italian
21749,italian
44967,indian
42969,italian
44883,italian
20827,italian
23196,southern_us
35387,italian
33780,italian
19001,italian
16526,southern_us
42455,italian
47453,italian
42478,italian
11885,italian
16585,mexican
29639,mexican
26245,mexican
38516,italian
47520,italian
26212,italian
23696,italian
14926,southern_us
13292,italian
27346,italian
1384,mexican
15959,italian
42297,mexican
46235,italian
21181,italian
9809,mexican
22982,mexican
23120,italian
26743,italian
12741,mexican
7050,italian
22437,italian
14760,italian
10649,italian
48065,mexican
39931,italian
32935,mexican
40142,mexican
19103,mexican
38267,italian
30512,italian
3324,italian
26197,italian
384,italian
47230,mexican
39748,italian
41038,southern_us
24878,southern_us
42624,italian
45706,italian
8874,italian
23878,italian
47234,italian
24075,italian
46323,mexican
22562,italian
11358,italian
9201,mexican
38620,southern_us
47638,italian
21238,mexican
11053,italian
46602,italian
13937,mexican
21876,southern_us
20798,mexican
24381,mexican
48178,italian
45832,mexican
27560,italian
23247,italian
28975,southern_us
43230,italian
9126,italian
13021,italian
28194,italian
25617,italian
36125,italian
16454,italian
1607,mexican
38526,italian
18755,southern_us
12035,italian
16047,italian
15419,mexican
16971,mexican
31459,southern_us
27888,southern_us
13900,italian
12376,italian
1658,italian
29431,italian
22290,italian
28464,southern_us
37953,italian
20814,italian
35987,italian
2329,italian
43237,italian
30647,italian
16675,italian
37722,mexican
32438,italian
20287,indian
43296,mexican
6237,italian
48560,italian
20810,italian
34951,italian
31850,italian
47745,italian
37815,italian
9872,italian
5592,italian
27411,mexican
39320,southern_us
40247,italian
19792,mexican
40754,italian
14365,mexican
14468,italian
47563,mexican
19611,italian
7163,italian
43069,italian
27505,italian
36500,italian
25932,southern_us
817,italian
8471,italian
48250,southern_us
9413,mexican
12097,italian
8416,mexican
5892,italian
676,italian
47015,italian
21891,mexican
14630,italian
36195,mexican
25981,italian
39964,italian
28298,italian
31954,southern_us
26620,italian
14932,southern_us
47426,italian
1038,indian
8077,southern_us
37141,southern_us
45447,italian
9624,italian
45589,italian
7265,italian
31844,italian
13046,italian
9867,mexican
29184,italian
34783,mexican
2823,mexican
18932,mexican
11112,italian
12859,mexican
9365,italian
44516,italian
18193,italian
46545,italian
9900,italian
14815,southern_us
39690,italian
22193,italian
11739,italian
27311,italian
36920,southern_us
7861,italian
29248,italian
43142,mexican
7574,italian
8610,italian
989,mexican
46926,mexican
40816,italian
39726,italian
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,italian
20860,southern_us
42494,italian
15968,italian
20484,italian
26661,indian
47182,italian
22528,italian
3861,italian
1203,italian
45040,italian
33287,mexican
10097,italian
42005,italian
12423,mexican
39613,italian
30276,southern_us
18686,italian
3031,southern_us
40093,italian
182,italian
46591,italian
4092,italian
13722,southern_us
44575,italian
14989,italian
13270,italian
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,italian
11735,italian
27935,italian
28198,mexican
37765,mexican
33856,italian
30198,italian
42521,italian
21567,italian
36995,italian
24967,southern_us
45002,italian
48925,italian
36914,southern_us
2280,southern_us
14729,italian
4594,italian
2237,italian
45631,mexican
2317,mexican
23079,italian
29333,italian
48066,italian
15737,southern_us
30580,mexican
1119,italian
46336,mexican
5026,italian
10749,southern_us
31020,italian
30805,italian
27653,italian
35060,italian
39174,italian
49509,southern_us
31784,southern_us
31408,italian
36029,italian
11045,italian
6561,southern_us
26992,southern_us
31179,southern_us
35099,italian
11018,mexican
17930,italian
21302,italian
46352,mexican
25132,italian
7010,italian
25850,southern_us
19601,italian
7935,italian
34994,italian
25113,italian
45523,italian
34977,italian
7124,italian
27514,southern_us
27178,mexican
47880,italian
29197,southern_us
16347,italian
20333,italian
29112,italian
7510,italian
13897,mexican
35699,italian
20520,mexican
38920,italian
21775,italian
